2026-05-18 17:18:06 | STAGE_ERROR | ThorlabsError: unexpected command received: expected 0x0412, got 0x0612 | ERROR
2026-05-18 17:18:06 | STAGE_ERROR | RuntimeError: Stage health check failed | ERROR
2026-05-18 17:18:06 | STAGE_ERROR | ThorlabsError: unexpected command received: expected 0x042a, got 0x0412 | ERROR
2026-05-18 17:18:12 | STAGE_ERROR | ThorlabsError: unexpected command received: expected 0x0412, got 0x0004 | ERROR
2026-05-18 17:18:12 | STAGE_ERROR | RuntimeError: Stage health check failed | ERROR
2026-05-18 17:18:12 | STAGE_ERROR | ThorlabsError: unexpected command received: expected 0x042a, got 0x0412 | ERROR
2026-05-18 17:18:23 | STAGE_ERROR | ThorlabsError: unexpected command received: expected 0x0412, got 0x0004 | ERROR
2026-05-18 17:18:23 | STAGE_ERROR | RuntimeError: Stage health check failed | ERROR
2026-05-18 17:18:23 | STAGE_ERROR | ThorlabsError: unexpected command received: expected 0x042a, got 0x0412 | ERROR
2026-05-18 17:18:34 | STAGE_ERROR | ThorlabsError: unexpected command received: expected 0x0412, got 0x0004 | ERROR
2026-05-18 17:18:34 | STAGE_ERROR | RuntimeError: Stage health check failed | ERROR
2026-05-18 17:18:34 | STAGE_ERROR | ThorlabsError: unexpected command received: expected 0x042a, got 0x0412 | ERROR
2026-05-18 17:23:05 | SYSTEM_ERROR | RuntimeException: The camera device has been physically removed. : RuntimeException thrown (file 'InstantCameraImpl.h', line 2111) | ERROR
2026-05-18 17:23:05 | CAMERA_ERROR | RuntimeError: Camera reconnect failed: No device is available or no device contains the provided device info properties. : RuntimeException thrown (file 'TlFactory.cpp', line 694) | ERROR
2026-05-18 17:23:08 | CAMERA_ERROR | RuntimeError: Camera reconnect failed: Failed to open device '\\?\usb#vid_2676&pid_ba05&mi_00#6&d820466&0&0000#{79bfeeca-947f-11e1-bc58-001b2163ef96}' for XML file download. Error: 'The device cannot be operated on an USB 2.0 port. The device requires an USB 3.0 compatible port.' : RuntimeException thrown (file 'PylonUsbTL.cpp', line 507) | ERROR
2026-05-18 17:23:12 | CAMERA_ERROR | RuntimeError: Camera reconnect failed: Failed to open device '\\?\usb#vid_2676&pid_ba05&mi_00#6&d820466&0&0000#{79bfeeca-947f-11e1-bc58-001b2163ef96}' for XML file download. Error: 'The device cannot be operated on an USB 2.0 port. The device requires an USB 3.0 compatible port.' : RuntimeException thrown (file 'PylonUsbTL.cpp', line 507) | ERROR
2026-05-18 17:23:15 | CAMERA_ERROR | RuntimeError: Camera reconnect failed: Failed to open device '\\?\usb#vid_2676&pid_ba05&mi_00#6&d820466&0&0000#{79bfeeca-947f-11e1-bc58-001b2163ef96}' for XML file download. Error: 'The device cannot be operated on an USB 2.0 port. The device requires an USB 3.0 compatible port.' : RuntimeException thrown (file 'PylonUsbTL.cpp', line 507) | ERROR
2026-05-18 17:23:19 | CAMERA_ERROR | RuntimeError: Camera reconnect failed: Failed to open device '\\?\usb#vid_2676&pid_ba05&mi_00#6&d820466&0&0000#{79bfeeca-947f-11e1-bc58-001b2163ef96}' for XML file download. Error: 'The device cannot be operated on an USB 2.0 port. The device requires an USB 3.0 compatible port.' : RuntimeException thrown (file 'PylonUsbTL.cpp', line 507) | ERROR
2026-05-18 17:23:22 | CAMERA_ERROR | RuntimeError: Camera reconnect failed: Failed to open device '\\?\usb#vid_2676&pid_ba05&mi_00#6&d820466&0&0000#{79bfeeca-947f-11e1-bc58-001b2163ef96}' for XML file download. Error: 'The device cannot be operated on an USB 2.0 port. The device requires an USB 3.0 compatible port.' : RuntimeException thrown (file 'PylonUsbTL.cpp', line 507) | ERROR
2026-05-18 17:23:26 | CAMERA_ERROR | RuntimeError: Camera reconnect failed: Failed to open device '\\?\usb#vid_2676&pid_ba05&mi_00#6&d820466&0&0000#{79bfeeca-947f-11e1-bc58-001b2163ef96}' for XML file download. Error: 'The device cannot be operated on an USB 2.0 port. The device requires an USB 3.0 compatible port.' : RuntimeException thrown (file 'PylonUsbTL.cpp', line 507) | ERROR
2026-05-18 17:23:29 | CAMERA_ERROR | RuntimeError: Camera reconnect failed: Failed to open device '\\?\usb#vid_2676&pid_ba05&mi_00#6&d820466&0&0000#{79bfeeca-947f-11e1-bc58-001b2163ef96}' for XML file download. Error: 'The device cannot be operated on an USB 2.0 port. The device requires an USB 3.0 compatible port.' : RuntimeException thrown (file 'PylonUsbTL.cpp', line 507) | ERROR
2026-05-18 17:23:32 | CAMERA_ERROR | RuntimeError: Camera reconnect failed: Failed to open device '\\?\usb#vid_2676&pid_ba05&mi_00#6&d820466&0&0000#{79bfeeca-947f-11e1-bc58-001b2163ef96}' for XML file download. Error: 'The device cannot be operated on an USB 2.0 port. The device requires an USB 3.0 compatible port.' : RuntimeException thrown (file 'PylonUsbTL.cpp', line 507) | ERROR
2026-05-18 17:23:36 | CAMERA_ERROR | RuntimeError: Camera reconnect failed: Failed to open device '\\?\usb#vid_2676&pid_ba05&mi_00#6&d820466&0&0000#{79bfeeca-947f-11e1-bc58-001b2163ef96}' for XML file download. Error: 'The device cannot be operated on an USB 2.0 port. The device requires an USB 3.0 compatible port.' : RuntimeException thrown (file 'PylonUsbTL.cpp', line 507) | ERROR
2026-05-18 17:23:39 | CAMERA_ERROR | RuntimeError: Camera reconnect failed: Failed to open device '\\?\usb#vid_2676&pid_ba05&mi_00#6&d820466&0&0000#{79bfeeca-947f-11e1-bc58-001b2163ef96}' for XML file download. Error: 'The device cannot be operated on an USB 2.0 port. The device requires an USB 3.0 compatible port.' : RuntimeException thrown (file 'PylonUsbTL.cpp', line 507) | ERROR
2026-05-18 17:23:43 | CAMERA_ERROR | RuntimeError: Camera reconnect failed: Failed to open device '\\?\usb#vid_2676&pid_ba05&mi_00#6&d820466&0&0000#{79bfeeca-947f-11e1-bc58-001b2163ef96}' for XML file download. Error: 'The device cannot be operated on an USB 2.0 port. The device requires an USB 3.0 compatible port.' : RuntimeException thrown (file 'PylonUsbTL.cpp', line 507) | ERROR
2026-05-18 17:23:46 | CAMERA_ERROR | RuntimeError: Camera reconnect failed: Failed to open device '\\?\usb#vid_2676&pid_ba05&mi_00#6&d820466&0&0000#{79bfeeca-947f-11e1-bc58-001b2163ef96}' for XML file download. Error: 'The device cannot be operated on an USB 2.0 port. The device requires an USB 3.0 compatible port.' : RuntimeException thrown (file 'PylonUsbTL.cpp', line 507) | ERROR
2026-05-18 17:23:50 | CAMERA_ERROR | RuntimeError: Camera reconnect failed: Failed to open device '\\?\usb#vid_2676&pid_ba05&mi_00#6&d820466&0&0000#{79bfeeca-947f-11e1-bc58-001b2163ef96}' for XML file download. Error: 'The device cannot be operated on an USB 2.0 port. The device requires an USB 3.0 compatible port.' : RuntimeException thrown (file 'PylonUsbTL.cpp', line 507) | ERROR
2026-05-18 17:23:53 | CAMERA_ERROR | RuntimeError: Camera reconnect failed: Failed to open device '\\?\usb#vid_2676&pid_ba05&mi_00#6&d820466&0&0000#{79bfeeca-947f-11e1-bc58-001b2163ef96}' for XML file download. Error: 'The device cannot be operated on an USB 2.0 port. The device requires an USB 3.0 compatible port.' : RuntimeException thrown (file 'PylonUsbTL.cpp', line 507) | ERROR
2026-05-18 17:23:56 | CAMERA_ERROR | RuntimeError: Camera reconnect failed: Failed to open device '\\?\usb#vid_2676&pid_ba05&mi_00#6&d820466&0&0000#{79bfeeca-947f-11e1-bc58-001b2163ef96}' for XML file download. Error: 'The device cannot be operated on an USB 2.0 port. The device requires an USB 3.0 compatible port.' : RuntimeException thrown (file 'PylonUsbTL.cpp', line 507) | ERROR
